"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Record Reneging Movie1 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie1 Customers",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
"Record Reneging Movie2 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie2 Customers",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Record Reneging Movie3 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie3 Customers",0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"counter1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter1",15,22,17,16,16,16,28,16,17,16,19,19,18,15,18,17,17,16,19,16,18,15,16,25,17,24,18,17,19,20
"counter1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter1",0.125,0.133333333333333,0.136433406120776,0.133333333333333,0.133333333333333,0.133333333333333,0.141666666666667,0.133333333333333,0.141666666666667,0.133333333333333,0.158333333333333,0.158333333333333,0.15,0.125,0.15,0.141666666666667,0.141666666666667,0.133333333333333,0.125,0.133333333333333,0.15,0.125,0.125,0.208333333333333,0.141666666666667,0.125,0.141666666666667,0.141666666666667,0.133333333333333,0.158333333333333
"counter2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter2",16,21,17,18,17,16,24,17,15,15,16,21,17,18,17,16,18,17,26,17,17,19,22,21,15,24,18,16,18,20
"counter2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter2",0.133333333333333,0.175,0.141666666666667,0.15,0.141666666666667,0.133333333333333,0.191666666666667,0.141666666666667,0.125,0.125,0.133333333333333,0.125,0.141666666666667,0.15,0.133333333333333,0.133333333333333,0.15,0.141666666666667,0.166666666666667,0.141666666666667,0.139055215098289,0.133333333333333,0.15,0.125,0.125,0.125,0.15,0.133333333333333,0.141666666666667,0.166666666666667
"counter3.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter3",18,19,21,16,15,17,30,16,16,21,17,20,18,18,18,16,17,17,20,17,16,22,18,26,20,24,18,18,17,18
"counter3.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter3",0.15,0.141666666666667,0.15,0.133333333333333,0.125,0.141666666666667,0.15,0.133333333333333,0.133333333333333,0.175,0.141666666666667,0.141666666666667,0.15,0.15,0.133333333333333,0.133333333333333,0.141666666666667,0.141666666666667,0.166666666666667,0.141666666666667,0.133333333333333,0.183333333333333,0.15,0.141666666666667,0.166666666666667,0.2,0.15,0.15,0.141666666666667,0.141666666666667
"Moviegoer.NumberIn","OUTPUT VALUE","Number In","Entity","Moviegoer",62,76,62,72,62,67,77,78,65,65,65,69,70,69,73,70,82,63,75,66,59,76,74,88,58,71,66,80,71,71
