"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Record Reneging Movie1 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie1 Customers",0,6,2,1,0,5,4,4,0,2,4,3,2,3,6,0,0,0,5,6,0,2,3,8,2,1,1,7,0,3
"Record Reneging Movie2 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie2 Customers",3,2,0,4,0,2,8,8,2,2,4,1,1,0,0,1,6,5,2,1,1,6,3,10,0,6,0,5,6,3
"Record Reneging Movie3 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie3 Customers",1,7,2,2,0,1,6,7,2,1,6,3,0,4,2,3,7,0,3,0,0,6,3,9,0,2,4,3,0,0
"counter.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter",49,53,52,50,48,58,51,49,48,50,52,49,51,51,50,49,52,53,51,50,61,48,52,48,51,50,51,51,50,53
"counter.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter",0.408333333333333,0.441666666666667,0.441666666666667,0.416666666666667,0.4,0.508333333333333,0.45,0.408333333333333,0.4,0.433333333333333,0.458333333333333,0.408333333333333,0.433333333333333,0.425,0.416666666666667,0.408333333333333,0.433333333333333,0.441666666666667,0.433333333333333,0.416666666666667,0.508333333333333,0.416666666666667,0.433333333333333,0.458333333333333,0.441666666666667,0.425,0.441666666666667,0.425,0.416666666666667,0.45
"Moviegoer.NumberIn","OUTPUT VALUE","Number In","Entity","Moviegoer",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Moviegoer.NumberOut","OUTPUT VALUE","Number Out","Entity","Moviegoer",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"counter.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","counter",0.408333333333333,0.441666666666667,0.441666666666667,0.416666666666667,0.4,0.508333333333333,0.45,0.408333333333333,0.4,0.433333333333333,0.458333333333333,0.408333333333333,0.433333333333333,0.425,0.416666666666667,0.408333333333333,0.433333333333333,0.441666666666667,0.433333333333333,0.416666666666667,0.508333333333333,0.416666666666667,0.433333333333333,0.458333333333333,0.441666666666667,0.425,0.441666666666667,0.425,0.416666666666667,0.45
"counter.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","counter",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
