"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"counter3.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","counter3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"counter3.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","counter3",0.15,0.141666666666667,0.15,0.133333333333333,0.125,0.141666666666667,0.15,0.133333333333333,0.133333333333333,0.175,0.175,0.141666666666667,0.15,0.15,0.133333333333333,0.133333333333333,0.141666666666667,0.141666666666667,0.15,0.141666666666667,0.216666666666667,0.175,0.166666666666667,0.258333333333333,0.166666666666667,0.166666666666667,0.15,0.15,0.141666666666667,0.141666666666667
"Join Counter Queue 1.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Join Counter Queue 1.Queue",2.65162156883208E-02,1.38060312402142E-02,0.114022647312358,3.10042868496237E-03,1.73583675429729E-02,4.16415988421048E-02,7.97631879320479E-02,6.47496810943936E-02,2.93145088888213E-02,0.039087263416889,5.91393431978617E-02,4.89231757054082E-02,3.05750268691219E-02,3.15534995305333E-02,4.73388629202963E-02,0.01184052650638,2.21936543953993E-02,2.16405709249799E-02,6.14358820830042E-02,1.36095731832939E-02,5.75572489911229E-02,5.74328889488249E-02,2.92885798687919E-02,2.64464438935967E-02,3.06534222535604E-02,1.73919087092212E-02,1.89816427173983E-02,2.49193152374221E-02,6.91038967129344E-02,3.53941913586808E-02
"Join Counter Queue 1.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Join Counter Queue 1.Queue",0.212129725506566,0.075305624946623,0.471817850947687,2.32532151372178E-02,0.130187756572296,0.249849593052629,0.354503057475768,0.485622608207952,0.206925945097562,0.293154475626668,0.308553094945365,0.244615878527041,0.203833512460813,0.236651246478999,0.315592419468642,8.35801871038588E-02,0.156661089849877,0.136677290052505,0.433665049997677,9.07304878886264E-02,0.203143231733375,0.3828859263255,0.167363313535954,0.122060510278139,0.204356148357069,9.07403932655019E-02,0.119884059267779,0.175901048734744,0.487792212091302,0.212365148152085
"Join Counter Queue 2.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Join Counter Queue 2.Queue",3.93883014587339E-02,2.01809215538652E-02,8.69419362876941E-03,7.76352413684776E-02,3.19312663626772E-02,7.39713162508295E-02,7.41479733337253E-02,8.68803419785592E-02,1.81559392533534E-02,4.40484664843195E-03,5.64862444728887E-02,2.24308285303897E-02,2.38979678546785E-02,1.07516577991821E-02,1.15873734937992E-02,3.84273024774952E-02,7.22347832492754E-02,3.58129456137584E-02,3.09097737382863E-02,5.04592496773373E-02,0.029042187242745,0.155653607345686,2.40551402501129E-02,2.99383941676339E-02,1.29682107699931E-02,0.110735436093382,3.72816382902468E-02,1.22679286268911E-02,1.40901492743572E-02,6.39009072207806E-02
"Join Counter Queue 2.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Join Counter Queue 2.Queue",0.295412260940504,0.115319551736373,3.06853892780097E-02,0.490327840221964,0.22539717432478,0.443827897504977,0.342221415386424,0.613273002201594,0.136169544400151,3.52387731874556E-02,0.308106788033938,8.97233141215586E-02,0.159319785697857,7.16777186612142E-02,8.17932246621123E-02,0.271251546899966,0.481565221661836,0.226187024929,0.142660494176706,0.356182938898852,0.099573213403697,0.849019676431015,0.120275701250564,0.119753576670535,0.103745686159945,0.781661901835641,0.235462978675243,9.20094647016831E-02,9.39343284957146E-02,0.333396037673638
"Join Counter Queue 3.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Join Counter Queue 3.Queue",2.38133287179392E-02,2.09810926561204E-02,5.25334670942279E-02,2.63347971564204E-02,1.88535256258803E-02,9.31761149484999E-02,3.31662593999488E-02,4.68156266193315E-02,3.59462355885392E-02,3.02140082814587E-02,2.07644244988543E-02,1.93787343009709E-02,2.29966270470314E-02,2.97862825585989E-02,3.27930483627051E-02,3.93412942215776E-02,5.38469954362857E-02,1.92691601470654E-02,0.084889078795789,2.14168566474686E-02,4.82468515898522E-02,7.35191609441005E-02,7.92813255623308E-03,0.128713530317745,4.36217715794136E-02,6.66599454251764E-02,0.042860208527038,3.12400324311112E-02,4.25957750949887E-02,4.82129311453454E-02
"Join Counter Queue 3.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Join Counter Queue 3.Queue",0.150399970850142,0.119891958034974,0.191030789433556,0.197510978673153,0.150828205007043,0.621174099656666,0.128385520257866,0.351117199644986,0.253738133566159,0.172651475894049,0.113260497266478,8.30517184327323E-02,0.137979762282188,0.198575217057326,0.218620322418034,0.295059706661832,0.358979969575238,0.136017601038109,0.536141550289193,0.15117781162919,0.222677776568549,0.383578231012698,4.75687953373985E-02,0.482675738691544,0.261730629476482,0.380913973858151,0.285734723513586,0.208266882874075,0.300676059494038,0.289277586872073
"movie1 SoldOut Time","TALLY AVERAGE","Expression","User Specified","movie1 SoldOut Time",49.1824765280674,38.2314310417604,81.9301200453511,42.5737832534915,30.9910795840082,41.4719953853586,39.4896382496935,30.2582301182612,47.2231710226215,36.9428790730294,44.4139786150731,62.7484643392569,46.065842893204,39.6724792082248,40.7356335646097,58.5185815839859,53.096041577051,68.2254153992217,39.8774024572784,31.7102150097211,31.1128007048311,40.8173873048626,40.743093362768,34.2029945442573,50.9270763332882,50.4526713302585,33.8271243747053,30.8079071267988,62.4707385111789,44.4496319345124
"movie2 SoldOut Time","TALLY AVERAGE","Expression","User Specified","movie2 SoldOut Time",34.1144366345763,57.5304050245395,61.90935939181,44.3361528866216,55.8435022544269,41.7202135193734,53.0153216281042,43.5031097636583,41.5019015742312,47.8337740540304,43.3378912021106,35.8827717715923,50.0431399680654,58.7600994285472,38.6222466241484,42.7985858720488,34.307796323113,45.27508555437,50.2174330623572,44.5281417908402,60.782279014784,41.1679303188524,43.3805057258547,35.0273570035339,50.5379610659705,29.3464372279803,50.7522848745546,43.8512677288398,38.5857471922648,56.7169025693851
