"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"counter3.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","counter3",0.3,0.283333333333333,0.3,0.266666666666667,0.25,0.283333333333333,0.3,0.266666666666667,0.266666666666667,0.35,0.35,0.283333333333333,0.3,0.3,0.266666666666667,0.266666666666667,0.283333333333333,0.283333333333333,0.3,0.283333333333333,0.266666666666667,0.35,0.333333333333333,0.496996748438184,0.333333333333333,0.333333333333333,0.3,0.3,0.283333333333333,0.283333333333333
"counter3.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","counter3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"counter3.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","counter3",0.3,0.283333333333333,0.3,0.266666666666667,0.25,0.283333333333333,0.3,0.266666666666667,0.266666666666667,0.35,0.35,0.283333333333333,0.3,0.3,0.266666666666667,0.266666666666667,0.283333333333333,0.283333333333333,0.3,0.283333333333333,0.266666666666667,0.35,0.333333333333333,0.496996748438184,0.333333333333333,0.333333333333333,0.3,0.3,0.283333333333333,0.283333333333333
"Join Counter Queue 1.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Join Counter Queue 1.Queue",5.30324313766415E-02,2.76120624804284E-02,5.73847727652423E-02,6.20085736992474E-03,3.47167350859457E-02,8.32831976842095E-02,0.159526375864096,0.129499362188787,5.86290177776425E-02,7.81745268337781E-02,0.118278686395723,8.43428923482022E-02,6.11500537382438E-02,6.31069990610665E-02,9.46777258405926E-02,0.02368105301276,4.43873087907986E-02,4.32811418499599E-02,0.122871764166008,2.72191463665879E-02,0.115114497982246,0.11486577789765,5.85771597375838E-02,5.28928877871934E-02,6.13068445071208E-02,3.47838174184424E-02,3.79632854347965E-02,4.98386304748443E-02,0.138207793425869,7.07883827173617E-02
"Join Counter Queue 1.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Join Counter Queue 1.Queue",0.212129725506566,0.075305624946623,0.11937533769937,2.32532151372178E-02,0.130187756572296,0.249849593052629,0.354503057475768,0.485622608207952,0.206925945097562,0.293154475626668,0.308553094945365,0.230026070040551,0.203833512460813,0.236651246478999,0.315592419468642,8.35801871038588E-02,0.156661089849877,0.162304281937349,0.433665049997677,9.07304878886264E-02,0.383714993274153,0.3828859263255,0.167363313535954,0.132232219467984,0.204356148357069,9.07403932655019E-02,0.119884059267779,0.175901048734744,0.518279225347008,0.212365148152085
"Join Counter Queue 2.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Join Counter Queue 2.Queue",7.87766029174678E-02,4.03618431077305E-02,1.73883872575388E-02,0.155270482736955,6.38625327253544E-02,0.147942632501659,0.148295946667451,0.173760683957118,3.63118785067068E-02,8.8096932968639E-03,0.112972488945777,4.48616570607793E-02,0.047795935709357,2.15033155983643E-02,2.31747469875985E-02,7.68546049549904E-02,0.144469566498551,7.16258912275168E-02,6.18195474765725E-02,0.100918499354675,4.50463909057567E-02,0.311307214691372,4.81102805002257E-02,5.98767883352677E-02,2.59364215399863E-02,0.221470872186765,7.45632765804935E-02,2.45358572537822E-02,2.81802985487144E-02,0.127801814441561
"Join Counter Queue 2.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Join Counter Queue 2.Queue",0.295412260940504,0.115319551736373,6.13707785560194E-02,0.490327840221964,0.22539717432478,0.443827897504977,0.342221415386424,0.613273002201594,0.136169544400151,3.52387731874556E-02,0.308106788033938,9.28172215050606E-02,0.159319785697857,7.16777186612142E-02,8.17932246621123E-02,0.271251546899966,0.481565221661836,0.226187024929,0.142660494176706,0.356182938898852,0.148089131191308,0.849019676431015,0.120275701250564,0.12388301034883,0.103745686159945,0.781661901835641,0.235462978675243,9.20094647016831E-02,9.39343284957146E-02,0.333396037673638
"Join Counter Queue 3.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Join Counter Queue 3.Queue",4.76266574358783E-02,4.19621853122408E-02,0.105066934188456,5.26695943128408E-02,3.77070512517607E-02,0.186352229897,6.63325187998976E-02,0.093631253238663,7.18924711770783E-02,6.04280165629173E-02,4.15288489977087E-02,3.87574686019417E-02,4.59932540940628E-02,5.95725651171979E-02,6.55860967254103E-02,7.86825884431551E-02,0.107693990872571,3.85383202941308E-02,0.169778157591578,4.28337132949372E-02,7.33996656106184E-02,0.147038321888201,1.58562651124662E-02,0.248465649041062,8.72435431588272E-02,0.133319890850353,8.57204170540759E-02,6.24800648622224E-02,8.51915501899773E-02,9.64258622906908E-02
"Join Counter Queue 3.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Join Counter Queue 3.Queue",0.150399970850142,0.119891958034974,0.33179031848986,0.197510978673153,0.150828205007043,0.621174099656666,0.128385520257866,0.351117199644986,0.253738133566159,0.172651475894049,0.113260497266478,0.086127708004315,0.137979762282188,0.198575217057326,0.218620322418034,0.295059706661832,0.358979969575238,0.136017601038109,0.536141550289193,0.15117781162919,0.275248746039819,0.383578231012698,4.75687953373985E-02,0.493742648195915,0.261730629476482,0.380913973858151,0.285734723513586,0.208266882874075,0.300676059494038,0.289277586872073
"movie1 SoldOut Time","TALLY AVERAGE","Expression","User Specified","movie1 SoldOut Time",49.1824765280674,38.2314310417604,42.5737832534915,30.9910795840082,41.4719953853586,39.4896382496935,30.2582301182612,47.2231710226215,36.9428790730294,44.4139786150731,46.065842893204,39.6724792082248,40.7356335646097,58.5185815839859,53.096041577051,39.8774024572784,31.7102150097211,31.1128007048311,40.8173873048626,40.743093362768,34.2029945442573,50.9270763332882,50.4526713302585,33.8271243747053,30.8079071267988,44.4496319345124
"movie2 SoldOut Time","TALLY AVERAGE","Expression","User Specified","movie2 SoldOut Time",34.1144366345763,57.5304050245395,44.3361528866216,55.8435022544269,41.7202135193734,53.0153216281042,43.5031097636583,41.5019015742312,47.8337740540304,43.3378912021106,35.8827717715923,50.0431399680654,58.7600994285472,38.6222466241484,42.7985858720488,34.307796323113,45.27508555437,50.2174330623572,44.5281417908402,41.1679303188524,43.3805057258547,35.0273570035339,50.5379610659705,29.3464372279803,50.7522848745546,43.8512677288398,38.5857471922648,56.7169025693851
"movie3 SoldOut Time","TALLY AVERAGE","Expression","User Specified","movie3 SoldOut Time",49.9836558864639,44.3579485299134,41.4291162288456,27.9920297167197,52.0918381584221,44.1032658651501,40.8004724522444,30.4495706688215,46.8749499282515,49.4997944312039,54.802808638338,44.2516200341611,41.9489072134682,40.2814953332913,33.2382092501371,30.6803479713958,36.7313910800416,38.1027830263431,52.9833911731694,50.8603058042183,38.9887248406975,50.9785249292227,59.7280304517913,46.0457524007461,43.4534792345896,42.7934735826626,51.3894613781518,49.3747372182025
"Moviegoer.NVATime","TALLY AVERAGE","NVA Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.OtherTime","TALLY AVERAGE","Other Time","Entity","Moviegoer",0.790322580645161,0.710526315789474,0.816666666666667,0.694444444444445,0.774193548387097,0.753623188405797,0.707317073170732,0.628205128205128,0.738461538461538,0.8,0.835820895522388,0.84375,0.828125,0.739130434782608,0.684931506849315,0.7,0.634146341463414,0.793650793650793,0.716216216216216,0.757575757575758,0.87719298245614,0.670886075949367,0.757142857142857,0.731707317073171,0.896551724137931,0.684931506849315,0.803030303030303,0.6375,0.731343283582089,0.808823529411765
"Moviegoer.TotalTime","TALLY AVERAGE","Total Time","Entity","Moviegoer",0.963970024254827,0.797317966500316,0.954453005992452,0.872895223127545,0.906083534577156,1.1167345449996,0.981088908291301,0.93350612773172,0.892461569964395,0.936072833870978,1.08010151433362,1.00121439188524,0.97338054082031,0.864506851979677,0.835702933879672,0.853615639780776,0.851134780118479,0.939789225433277,1.00362389397364,0.913004265772302,1.11759251096742,1.10623644137511,0.862180318871665,0.982798945683644,1.07705531986821,1.00512979215526,0.983254829456999,0.740140914443136,0.956638485520502,1.06913181716142
"Moviegoer.TranTime","TALLY AVERAGE","Transfer Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.VATime","TALLY AVERAGE","VA Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.WaitTime","TALLY AVERAGE","Wait Time","Entity","Moviegoer",0.173647443609666,8.67916507108419E-02,0.137786339325785,0.178450778683101,0.131889986190059,0.363111356593799,0.273771835120569,0.305300999526591,0.154000031502856,0.136072833870978,0.244280618811232,0.157464391885241,0.14525554082031,0.125376417197068,0.150771427030357,0.153615639780776,0.216988438655064,0.146138431782483,0.287407677757426,0.155428508196545,0.240399528511276,0.435350365425739,0.105037461728808,0.251091628610472,0.180503595730277,0.32019828530594,0.180224526426696,0.102640914443137,0.225295201938412,0.260308287749659
"Moviegoer.WIP","DSTAT AVERAGE","WIP","Entity","Moviegoer",0.996102358396655,1.0099360909004,1.0150076931354,1.04747426775305,0.93628631906306,1.28424472674953,1.34082150799811,1.21355796605123,0.966833367461428,1.01407890336023,1.20611335767254,1.06796201801092,1.038272576875,0.994182879776629,1.01677190288693,0.995884913077573,1.16321753282859,0.986778686704941,1.23780280256749,1.00430469234953,1.07052257091889,1.45654464781056,1.00587703868361,1.37489874026837,1.0411534758726,1.22290791378889,1.0815803124027,0.986854552590849,1.06824630883123,1.21168272611628
"numLeftTickets1 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets1",23.1784306434572,17.4293157082248,30.6518730973462,21.2168011118032,16.8946745675948,18.5182519130197,15.565722007205,15.841045749999,20.5422736440249,18.9361710046457,19.3821907170293,18.3639358012843,22.7720381969073,17.1193555886082,17.6319251615491,29.6715478489827,19.0480271714736,32.3869119860901,20.5883924141227,14.338567593088,13.1425175581708,19.3364123319931,20.8345699946737,16.2568808380993,26.7905988823244,18.2819110484632,13.0951191319248,12.6624771360205,23.5074103386154,22.8961511762302
"numLeftTickets2 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets2",15.2581219751303,17.7674202218991,21.9583659112257,24.760405965817,22.5482338715061,12.9313277817632,15.9887454836245,20.5749499708918,18.1645674516929,22.8440500562272,27.0174866964142,13.65984497114,18.6410466495039,22.0484114619969,16.7413052787663,19.7072718523746,12.6379983148581,25.3997682831881,19.3187275301559,20.6819848754112,33.183449733184,21.5861813616629,18.7672750471588,16.2310654573378,21.2838141922366,15.3044618917502,23.4710286789773,21.3551608055734,16.0287858540102,22.2022115318667
"numLeftTickets3 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets3",20.5813016779786,19.3217239294104,21.000794227111,11.6842281479418,25.742078364092,22.8798070548304,15.5011061115442,14.7062987313616,26.2511924939973,19.9299604184567,15.9655047645557,21.0743571048548,15.2396411952792,20.707402741196,16.0483792115093,13.4333144505711,14.525392434445,14.261196982879,21.0995343480725,21.4076258153382,24.4043829509482,16.8268841887114,23.4870788543347,13.0257005381052,21.0239579033678,20.5692529006263,18.0546210550595,17.8989149084185,23.8617574665333,23.3282927027651
"Seize Counter for Movie Cust.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Seize Counter for Movie Cust.Queue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
