"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Record Reneging Movie1 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie1 Customers",0,6,0,1,0,0,4,4,0,2,4,3,2,3,6,0,0,0,5,6,0,2,3,8,2,1,1,7,0,3
"Record Reneging Movie2 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie2 Customers",3,2,0,4,0,2,8,8,2,2,4,1,1,0,0,1,6,5,2,1,0,6,3,10,0,6,0,5,6,3
"Record Reneging Movie3 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie3 Customers",1,7,2,2,0,0,6,7,2,1,6,3,0,4,2,3,7,0,3,0,0,6,3,9,0,2,4,3,0,0
"counter.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter",49,53,49,50,48,57,51,49,48,50,52,49,51,51,50,49,52,50,51,50,51,48,52,48,51,50,51,51,49,53
"counter.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter",0.816666666666667,0.883333333333333,0.828100072787443,0.833333333333333,0.8,0.991835101127535,0.9,0.816666666666667,0.8,0.866666666666667,0.916666666666667,0.816666666666667,0.866666666666667,0.85,0.833333333333333,0.816666666666667,0.866666666666667,0.833333333333333,0.866666666666667,0.833333333333333,0.836962016420267,0.833333333333333,0.866666666666667,0.916666666666667,0.883333333333333,0.85,0.883333333333333,0.85,0.816666666666667,0.9
"Moviegoer.NumberIn","OUTPUT VALUE","Number In","Entity","Moviegoer",62,80,63,72,62,68,87,78,65,71,69,66,66,69,73,70,82,63,71,66,59,79,75,89,59,71,68,80,67,67
"Moviegoer.NumberOut","OUTPUT VALUE","Number Out","Entity","Moviegoer",62,80,59,72,62,60,87,78,65,71,69,66,66,69,73,70,82,63,71,66,57,79,75,89,59,71,68,80,67,67
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",62,80,59,72,62,60,87,78,65,71,69,66,66,69,73,70,82,63,71,66,57,79,75,89,59,71,68,80,67,67
"counter.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","counter",0.816666666666667,0.883333333333333,0.828100072787443,0.833333333333333,0.8,0.991835101127535,0.9,0.816666666666667,0.8,0.866666666666667,0.916666666666667,0.816666666666667,0.866666666666667,0.85,0.833333333333333,0.816666666666667,0.866666666666667,0.833333333333333,0.866666666666667,0.833333333333333,0.836962016420267,0.833333333333333,0.866666666666667,0.916666666666667,0.883333333333333,0.85,0.883333333333333,0.85,0.816666666666667,0.9
"counter.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","counter",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
