"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Moviegoer.NVATime","TALLY AVERAGE","NVA Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.OtherTime","TALLY AVERAGE","Other Time","Entity","Moviegoer",0.790322580645161,0.710526315789474,0.836065573770492,0.694444444444445,0.774193548387097,0.731343283582089,0.786666666666666,0.628205128205128,0.738461538461538,0.8,0.8,0.739130434782608,0.782608695652174,0.739130434782609,0.684931506849315,0.7,0.634146341463414,0.793650793650794,0.733333333333333,0.757575757575758,0.87719298245614,0.683544303797469,0.689189189189189,0.647727272727273,0.896551724137931,0.76056338028169,0.803030303030303,0.6375,0.704225352112676,0.710526315789474
"Moviegoer.TotalTime","TALLY AVERAGE","Total Time","Entity","Moviegoer",1.07159047704239,1.01320424031117,1.04116145718716,1.03330564048465,0.934273975629611,0.942344800789802,1.64016332973283,2.04911280202235,1.03896689916587,1.08424470170975,1.26810748877,1.00405357270307,1.2024350460352,0.974314668752915,0.921952864851835,0.858708553157337,1.23624796891003,1.05909468880907,1.10996296691104,1.27747633912137,1.243567352277,1.59563071263611,1.07095448879177,0.902334871819319,1.27009834152656,1.5909159711411,1.19317916034317,0.991568956417961,0.947976830026611,1.10447108730086
"Moviegoer.TranTime","TALLY AVERAGE","Transfer Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.VATime","TALLY AVERAGE","VA Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.WaitTime","TALLY AVERAGE","Wait Time","Entity","Moviegoer",0.281267896397229,0.302677924521696,0.205095883416667,0.338861196040204,0.160080427242514,0.211001517207713,0.853496663066163,1.42090767381722,0.300505360704336,0.284244701709748,0.468107488770005,0.26492313792046,0.419826350383022,0.235184233970306,0.237021358002521,0.158708553157338,0.602101627446612,0.265443895158275,0.376629633577706,0.51990058154561,0.366374369820862,0.912086408838642,0.38176529960258,0.254607599092047,0.373546617388634,0.830352590859408,0.390148857312866,0.35406895641796,0.243751477913935,0.393944771511385
"Moviegoer.WIP","DSTAT AVERAGE","WIP","Entity","Moviegoer",0.553655079805235,0.641696018863741,0.543539278488065,0.619983384290788,0.482708220741966,0.526142513774306,1.02510208108302,1.33192332131452,0.562773737048182,0.587299213426114,0.686891556417086,0.577330804304265,0.691400151470237,0.560230934532926,0.560854659451533,0.500913322675114,0.844769445421852,0.556024711624761,0.693726854319399,0.702611986516753,0.599504177831418,1.05045688581877,0.660421934754924,0.661712239334167,0.613880865071173,0.941291949591816,0.656248538188743,0.661045970945307,0.560886291099078,0.699498355290544
"numLeftTickets1 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets1",22.7341444329518,17.1130139120957,30.2742454112141,20.9253212753442,16.4947136640546,18.2777762679646,15.1335030215417,16.0875439614593,20.1649469629633,18.4055317283657,18.9613042236763,17.5033107217264,22.3426902835682,16.6849204543231,17.0944662079625,29.2439511124156,18.7908897800089,32.0347298476586,20.1399327089661,14.2126675232735,12.5101923598374,19.2109148121105,20.5375299332946,17.4276600719527,26.3753295355804,18.1837591643314,12.798086390963,12.4393833290618,22.6494344351892,22.3508371483251
"numLeftTickets2 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets2",14.8062313706318,17.452201528919,21.6331061027798,24.1914592796852,22.0479508483549,12.0103119284727,15.8333009989723,20.6660806126551,17.7550477630317,22.4541234755552,27.0993511823191,13.2389741772375,18.4634196775481,21.7006201810314,16.4123384115643,19.1565484725325,12.362293635755,24.9361350723315,18.9531320320161,20.2912699473664,32.8771247871427,21.2422773657807,18.448374278483,16.1333232021055,20.8710130595899,14.628301116841,23.0446514603316,20.9870622383673,15.6231327987066,21.3677891756151
"numLeftTickets3 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets3",20.1233443064395,18.9647516287231,20.4391799814373,11.2860774258564,25.2392138765393,22.7301165916042,15.7310683562101,14.7245825827396,25.8065805270185,19.5611353496472,15.3970353935613,20.6649682258455,14.8972414092584,20.2524806090317,15.6184842318954,12.9390767039917,14.1558035391622,13.8489171586213,20.652690423494,21.0442705777093,24.0037655657669,16.2814829399788,23.3119541018984,11.4502147960658,20.6139562518707,20.831237156375,17.6153991013227,17.5389027106931,23.4126817779546,22.9204277529296
"Seize Counter for Movie Cust.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Seize Counter for Movie Cust.Queue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
